DPT;CIRC;INS;VOT;BLA;NUL;EXP;EXG;PCF;FG;EELV-GR;EELV;PS-EELV;PS;DVG;GEC;DIV;ECO;REG;MoDem;UDI;UD;LR;DVD;SOUV;FN;EXD
41;01;82324;40897;977;700;39220;593;1513;0;0;2936;0;11343;0;0;0;0;0;0;0;9154;0;0;2209;11472;0
41;02;80209;41310;1165;957;39188;624;1546;0;0;1967;0;8834;0;0;0;0;0;0;0;9776;0;0;2433;14008;0
41;03;82378;44134;1361;1085;41688;749;1732;0;0;2827;0;8485;0;0;0;0;0;0;0;11930;0;0;2601;13364;0
42;01;66066;30546;503;198;29845;427;1856;0;1829;0;0;7660;0;0;0;0;0;0;0;8930;0;409;861;7873;0
42;02;53568;24390;345;179;23866;356;1526;0;1789;0;0;6596;0;0;0;0;0;0;0;7148;0;332;697;5422;0
42;03;81403;39347;1120;253;37974;572;1798;0;1981;0;0;8297;0;0;0;0;0;0;0;11722;0;504;1515;11585;0
42;04;99886;51174;1024;505;49645;674;3954;0;2759;0;0;9859;0;0;0;0;0;0;0;15555;0;371;1568;14905;0
42;05;101726;50080;1231;757;48092;656;2764;0;2102;0;0;10975;0;0;0;0;0;0;0;15129;0;560;1832;14074;0
42;06;106108;54847;1218;643;52986;703;2391;0;2426;0;0;10507;0;0;0;0;0;0;0;19403;0;543;1844;15169;0
43;01;97085;55202;1430;598;53174;498;2143;0;2287;0;0;9092;0;0;0;0;0;0;0;27122;0;358;967;10707;0
43;02;80082;44898;1247;641;43010;408;2223;0;1937;0;0;7997;0;0;0;0;0;0;0;22603;0;199;799;6844;0
44;01;73634;37340;951;258;36131;364;1150;0;0;3811;0;12032;0;0;0;0;924;0;0;11849;0;0;1723;4278;0
44;02;82882;40691;662;357;39672;457;1770;0;0;5130;0;14187;0;0;0;0;883;0;0;11372;0;0;1719;4154;0
44;03;89508;42790;1226;342;41222;809;1886;0;0;4964;0;14804;0;0;0;0;1214;0;0;9201;0;0;1851;6493;0
44;04;86647;43228;965;549;41714;735;2074;0;0;4372;0;15744;0;0;0;0;931;0;0;9955;0;0;1612;6291;0
44;05;112640;59002;1318;685;56999;745;1867;0;0;6053;0;17823;0;0;0;0;1322;0;0;17114;0;0;2742;9333;0
44;06;108711;54896;1812;1082;52002;998;1489;0;0;4707;0;13283;0;0;0;0;1331;0;0;15834;0;0;2582;11778;0
44;07;105147;52222;1362;653;50207;753;1574;0;0;3159;0;12517;0;0;0;0;2078;0;0;16824;0;0;2751;10551;0
44;08;83289;38678;840;465;37373;995;2141;0;0;2939;0;13176;0;0;0;0;1547;0;0;7328;0;0;1605;7642;0
44;09;113349;58539;1514;872;56153;871;1785;0;0;4158;0;14334;0;0;0;0;1234;0;0;18051;0;0;2993;12727;0
44;10;111661;59098;1392;855;56851;804;1795;0;0;4864;0;15613;0;0;0;0;1033;0;0;19975;0;0;2842;9925;0
45;01;74515;37410;684;498;36228;421;1307;0;0;2662;0;10278;0;0;0;0;0;0;0;11489;0;0;2093;7978;0
45;02;83827;40934;918;625;39391;576;1770;0;0;2619;0;10697;0;0;0;0;0;0;0;10272;0;0;2215;11242;0
45;03;70461;36895;964;648;35283;464;1168;0;0;1942;0;8061;0;0;0;0;0;0;0;8351;0;0;2473;12824;0
45;04;75007;36747;844;631;35272;518;1420;0;0;1816;0;7631;0;0;0;0;0;0;0;7316;0;0;2480;14091;0
45;05;73744;36047;855;655;34537;628;1118;0;0;1970;0;7519;0;0;0;0;0;0;0;8217;0;0;2087;12998;0
45;06;70242;35449;721;502;34226;455;1199;0;0;2593;0;9475;0;0;0;0;0;0;0;8910;0;0;2124;9470;0
46;01;70516;38737;1291;965;36481;705;0;0;4266;0;0;10792;1619;664;0;0;0;0;0;8169;0;0;1825;8200;241
46;02;65263;36521;1431;1205;33885;679;0;0;3823;0;0;11538;1274;572;0;0;0;0;0;7324;0;0;1599;6831;245
47;01;87391;45723;1336;906;43481;608;0;1842;0;2358;0;11063;455;730;0;0;0;0;0;10630;0;0;2071;13724;0
47;02;77108;41367;1133;1130;39104;454;0;1741;0;1682;0;10578;326;592;0;0;0;0;0;9352;0;0;1772;12607;0
47;03;75972;40352;1151;1000;38201;513;0;1582;0;1860;0;10030;265;592;0;0;0;0;0;8822;0;0;2415;12122;0
48;01;59906;32917;1058;832;31027;482;0;0;3042;0;0;7750;1865;419;0;0;0;0;0;8408;0;0;1536;7311;214
49;01;82708;40482;1099;710;38673;556;1529;0;0;3561;0;10421;0;0;0;0;152;0;0;13219;0;0;2093;7142;0
49;02;89059;44080;1286;880;41914;763;1752;0;0;3839;0;12356;0;0;0;0;135;0;0;12847;0;0;2280;7942;0
49;03;69203;33342;1338;886;31118;634;1139;0;0;2212;0;6523;0;0;0;0;137;0;0;8808;0;0;2059;9606;0
49;04;73804;36390;1111;856;34423;639;934;0;0;2559;0;7096;0;0;0;0;132;0;0;11524;0;0;2160;9379;0
49;05;76557;35798;941;658;34199;529;754;0;0;2379;0;8244;0;0;0;0;124;0;0;13766;0;0;1883;6520;0
49;06;94005;46967;1730;1105;44132;759;1260;0;0;3615;0;10692;0;0;0;0;192;0;0;15792;0;0;2444;9378;0
49;07;76412;38446;1350;744;36352;684;1153;0;0;3254;0;9259;0;0;0;0;171;0;0;11923;0;0;2220;7688;0
50;01;86760;42679;1307;1099;40273;768;0;1649;0;2892;0;9157;374;0;0;0;0;0;0;12609;0;0;2449;10375;0
50;02;95293;47738;1596;1346;44796;712;0;1806;0;3625;0;9316;403;0;0;0;0;0;0;14973;0;0;3532;10429;0
50;03;106916;52875;1401;1183;50291;840;0;2354;0;3313;0;12196;396;0;0;0;0;0;0;15380;0;0;2875;12937;0
